trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-64.62054961810593,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96}",25,0,-116.76359328005896,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.94}",20,0,-84.11464571206552,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-154.18412139840615,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-147.87021649558676,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-122.64238549381827,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-49.27958807376085,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-87.87639402670325,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-115.44707033545706,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-62.104913764422264,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,0,-116.80542124426626,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-83.15453032897972,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-79.06687797637552,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,9,-6.109122863585657,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-78.76859267328466,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-56.62796518838983,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,0,-42.73148118778586,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-22.18157508652703,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-167.61961398381666,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-104.5113958928439,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-93.8357209873866,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-40.96790607518424,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,10,-46.654636640210526,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-158.1929861055771,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-77.90804466939628,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-37.25595187392376,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,16,8.123412975825062,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-32.934897136542425,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,0,-73.94269330691216,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,0,19.135655801417904,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-21.99349218641798,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,15.525108880362517,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,5,-149.64517392363675,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,0,-35.22414220691715,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-96.9910136456433,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,-105.11537233447544,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,-88.69695088234366,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.23999999999999935}",20,0,-67.06343928679999,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.21999999999999936}",25,0,-50.63545178915978,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.19999999999999937}",25,0,-102.92663508151911,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
