trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.985, 'e': 0.985}",25,0,-116.10617385592288,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.985, 'e': 0.970225}",20,0,-94.49169070675822,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.985, 'e': 0.9556716249999999}",25,0,-88.6375705531755,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.985, 'e': 0.941336550625}",25,0,-90.92095544672425,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.985, 'e': 0.9272165023656249}",20,0,-131.45682440882254,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.985, 'e': 0.9133082548301406}",20,2,-22.645789307276686,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.985, 'e': 0.8996086310076884}",20,10,-33.932195890776605,"{0: 5, 1: 3, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.985, 'e': 0.8861145015425731}",20,0,-111.33408541522047,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.985, 'e': 0.8728227840194345}",20,0,-56.96133405029217,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.985, 'e': 0.859730442259143}",30,0,-40.369891742603414,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.985, 'e': 0.8468344856252558}",25,0,-206.22174614828114,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
12,False,"{'a': 0.985, 'e': 0.834131968340877}",30,0,-94.40937396885896,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.985, 'e': 0.8216199888157638}",30,0,-95.1267865210293,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.985, 'e': 0.8092956889835273}",20,0,-115.30832231554304,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.985, 'e': 0.7971562536487744}",25,0,-79.44824338061682,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.985, 'e': 0.7851989098440427}",20,2,-73.31177965245051,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.985, 'e': 0.7734209261963821}",30,0,-63.88839492786779,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.985, 'e': 0.7618196123034364}",25,0,-168.7286468221038,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.985, 'e': 0.7503923181188848}",25,0,-126.93732803680294,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.985, 'e': 0.7391364333471016}",20,0,-142.53250865555697,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
21,False,"{'a': 0.985, 'e': 0.728049386846895}",25,0,-69.38847620653137,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.985, 'e': 0.7171286460441916}",20,0,-49.19912238406537,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
