trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.51363341448827,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.47199195539955,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-3.5114141849146896,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.20345330173984,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.9541486549256,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.68796465713908,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.448763816196,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.87701948540291,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.18767876196972,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.6857941037827,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.8029913392423,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.52105484625326,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.01172051422081,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.15545614868495,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.85405666281824,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,2,-85.18426433269643,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.23114379630299,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.29542443016478,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,2,-52.970774677425844,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.55955620714715,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.90715697419915,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-68.17628961798458,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.00509929273532,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.988628479949934,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.20525095237869,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,9,-66.94098919320453,"{0: 8, 1: 6, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.275835507993754,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.87686910364926,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.92197657683585,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.7527268630201,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
